horizon,blocks,k,strategy,median_sharpe,frac_positive,trades
short,9,2,grid,-1.8161188731753453,0.14285714285714285,4336
short,10,2,grid,-2.003353153686818,0.08333333333333333,4351
short,11,2,grid,-1.600653950402206,0.13333333333333333,4415
short,12,2,grid,-1.9385852220983806,0.12727272727272726,4445
short,6,2,atr_sized,-2.017942853448344,0.0,3048
short,7,2,atr_sized,-1.6951327010844568,0.0,3105
short,8,2,atr_sized,-2.5482818904570674,0.047619047619047616,3191
short,9,2,atr_sized,-1.9885630875584028,0.0,3313
short,10,2,atr_sized,-1.8392999371979677,0.16666666666666666,3388
short,11,2,atr_sized,-1.636271071211936,0.1111111111111111,3435
short,12,2,atr_sized,-1.9819955757836905,0.21818181818181817,3470
short,6,2,ichimoku,-2.536217531970916,0.0,366
short,7,2,ichimoku,-2.4265508278235153,0.0,394
short,8,2,ichimoku,-1.8768241588899766,0.0,392
short,9,2,ichimoku,-2.0407990614760063,0.0,400
short,10,2,ichimoku,-2.0303130894087706,0.16666666666666666,402
short,11,2,ichimoku,-2.009029323828484,0.1111111111111111,404
short,12,2,ichimoku,-2.1682127345245585,0.16363636363636364,408
short,6,2,vwap_reversion,-1.958968323713826,0.0,382
short,7,2,vwap_reversion,-1.80371544502263,0.06666666666666667,390
short,8,2,vwap_reversion,-2.1888621084661355,0.0,398
short,9,2,vwap_reversion,-2.3099361321649,0.10714285714285714,402
short,10,2,vwap_reversion,-2.3157296183132026,0.1111111111111111,410
short,11,2,vwap_reversion,-2.55609847015903,0.15555555555555556,414
short,12,2,vwap_reversion,-2.336555779563844,0.10909090909090909,420
short,6,2,ma_crossover,-2.5636106563657943,0.0,192
short,7,2,ma_crossover,-2.6815923667207615,0.06666666666666667,200
short,8,2,ma_crossover,-2.384863013543206,0.09523809523809523,204
short,9,2,ma_crossover,-2.3628685148537003,0.0,210
short,10,2,ma_crossover,-1.835882850195405,0.19444444444444445,214
short,11,2,ma_crossover,-2.1629506712723976,0.2222222222222222,218
short,12,2,ma_crossover,-1.9752696320944456,0.18181818181818182,214
short,6,2,ts_momentum,-2.8423016968902433,0.0,686
short,7,2,ts_momentum,-2.6854631537961056,0.0,704
