horizon,kind,label,mode,family,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr_spread,frac_paths_positive,median_path_return,total_trades,insufficient,reason
short,triple,all(breakout+rsi+zscore),all,breakout+oscillator-reversion+mean-reversion,21,7,-0.10092097458849998,-0.8072204108878082,0.0,0.8072204108878082,0.19047619047619047,-0.0007826867760416523,8,True,only 8 trades across all blocks (floor 10)
short,triple,vote(breakout+rsi+zscore),vote,breakout+oscillator-reversion+mean-reversion,21,7,-2.0652853887202887,-2.271993213061403,-1.50458245376782,0.7674107592935828,0.0,-0.1529199157752933,5640,False,
short,triple,all(breakout+rsi+obv_trend),all,breakout+oscillator-reversion+volume-flow,21,7,0.0,-2.1071828766335217,0.0,2.1071828766335217,0.0,0.0,2,True,only 2 trades across all blocks (floor 10)
short,triple,vote(breakout+rsi+obv_trend),vote,breakout+oscillator-reversion+volume-flow,21,7,-1.985634571737137,-2.562481408784877,-1.6642834180595618,0.8981979907253153,0.0,-0.14973037850856463,6809,False,
short,triple,all(breakout+zscore+obv_trend),all,breakout+mean-reversion+volume-flow,21,7,-2.1071828766335217,-2.2760801998950946,0.0,2.2760801998950946,0.0,-0.0012621056223126592,4,True,only 4 trades across all blocks (floor 10)
short,triple,vote(breakout+zscore+obv_trend),vote,breakout+mean-reversion+volume-flow,21,7,-1.981073084530963,-2.93718407294028,-1.1988719774626468,1.738312095477633,0.0,-0.14270587266215617,6637,False,
short,triple,all(rsi+zscore+obv_trend),all,oscillator-reversion+mean-reversion+volume-flow,21,7,-1.5531819535212463,-2.305961485047096,0.045304650433158254,2.3512661354802544,0.2857142857142857,-0.05036359508347432,180,False,
short,triple,vote(rsi+zscore+obv_trend),vote,oscillator-reversion+mean-reversion+volume-flow,21,7,-1.7714510649372714,-1.9608643167053097,-1.1410310331187077,0.819833283586602,0.0,-0.13769415245797634,6396,False,
medium,pair,all(ma_crossover+ts_momentum),all,trend+momentum,21,7,-0.09124037854359944,-0.428917652891013,1.5396488559930228,1.9685665088840358,0.47619047619047616,-0.15496791651045838,84,False,
medium,pair,any(ma_crossover+ts_momentum),any,trend+momentum,21,7,-0.21027746324235405,-0.7023573436617477,1.0179952242171633,1.720352567878911,0.42857142857142855,-0.309518529096801,90,False,
medium,pair,all(ma_crossover+sma_regime),all,trend+regime-filter,21,7,-0.1401444164765526,-0.551440053091333,1.493839308707023,2.045279361798356,0.42857142857142855,-0.19795616247663617,58,False,
medium,pair,any(ma_crossover+sma_regime),any,trend+regime-filter,21,7,-0.3687459961633695,-0.753813023505358,0.889052812705405,1.6428658362107629,0.42857142857142855,-0.4354176192914807,76,False,
medium,pair,all(ma_crossover+breakout),all,trend+breakout,21,7,-0.5196577931878664,-0.7864762064243498,1.3422783630337054,2.128754569458055,0.38095238095238093,-0.2797004510668837,44,False,
medium,pair,any(ma_crossover+breakout),any,trend+breakout,21,7,0.4305648122578068,-0.4813975667038523,1.3638475550991016,1.845245121802954,0.5714285714285714,0.094314260550453,46,False,
medium,pair,all(ma_crossover+bb_breakout),all,trend+breakout,21,7,-0.021397656364893356,-0.7362908983587905,1.212507438939303,1.9487983372980935,0.47619047619047616,-0.08034245724114841,50,False,
medium,pair,any(ma_crossover+bb_breakout),any,trend+breakout,21,7,0.3061627414620298,-0.4568823968038236,1.5632579830072497,2.0201403798110733,0.5714285714285714,-0.01051224121257155,46,False,
medium,pair,all(ma_crossover+keltner),all,trend+breakout,21,7,-0.020110960039629706,-0.4007581286614717,1.6811384382557821,2.081896566917254,0.42857142857142855,-0.0608679914507998,36,False,
medium,pair,any(ma_crossover+keltner),any,trend+breakout,21,7,-0.02587251805717798,-0.6173718262987979,1.3359705570666414,1.9533423833654393,0.47619047619047616,-0.25466409715760285,40,False,
medium,pair,all(ma_crossover+rsi),all,trend+oscillator-reversion,21,7,0.0,-0.8974373944718279,0.0,0.8974373944718279,0.0,0.0,2,True,only 2 trades across all blocks (floor 10)
medium,pair,any(ma_crossover+rsi),any,trend+oscillator-reversion,21,7,0.03420994042698414,-0.5267047283338259,1.1433008106392268,1.6700055389730526,0.5714285714285714,-0.2451738593483599,54,False,
medium,pair,all(ma_crossover+stochastic),all,trend+oscillator-reversion,21,7,-0.06696150478571632,-0.7717772336907118,0.5274317665062984,1.2992090001970102,0.38095238095238093,-0.060022241446954894,30,False,
medium,pair,any(ma_crossover+stochastic),any,trend+oscillator-reversion,21,7,0.07556382810489073,-0.5852630228074184,0.7931482298432762,1.3784112526506944,0.5714285714285714,-0.21597612810773703,64,False,
medium,pair,all(ma_crossover+bb_reversion),all,trend+mean-reversion,21,7,-0.08262022301181883,-0.6675331524104424,0.3011430616389686,0.968676214049411,0.42857142857142855,-0.07414347762398299,30,False,
medium,pair,any(ma_crossover+bb_reversion),any,trend+mean-reversion,21,7,-0.05623161687218921,-0.7833043985101769,0.5597365617579503,1.343040960268127,0.42857142857142855,-0.43194948679061873,58,False,
