label,kind,horizon,families,mode,rankable,full_return,full_sharpe,full_maxdd,full_trades,full_exposure,is_return,is_sharpe,is_maxdd,is_trades,is_exposure,oos_return,oos_sharpe,oos_maxdd,oos_trades,oos_exposure
any(ma_crossover+zscore),pair,short,trend+mean-reversion,any,True,-0.6951860523152431,-1.714319774999807,-0.8440899752856377,194,0.7270769579508104,-0.7139814283696311,-2.514245186424424,-0.8105889471174518,139,0.7232836787564767,0.0655865815013732,0.6777813266953946,-0.26014315475089134,55,0.735927465054779
all(ma_crossover+vwap_reversion),pair,short,trend+mean-reversion,all,True,-0.2626985600508749,-1.4393828384069582,-0.3223337472539998,132,0.07967811402017454,-0.24064424441291643,-1.6651785134915236,-0.2848396081910314,103,0.09067357512953368,-0.029043456213626584,-0.7037029201908246,-0.053597255245368715,29,0.05402342274272762
any(ma_crossover+vwap_reversion),pair,short,trend+mean-reversion,any,True,-0.7618859263513891,-2.06106858017287,-0.847879984668641,195,0.7506517057690129,-0.7325987526828779,-2.5795548668577277,-0.8087024076825146,142,0.7512953367875648,-0.11596490577369334,-0.5833197440574677,-0.2902870931483253,53,0.7483944087646393
all(ma_crossover+obv_trend),pair,short,trend+volume-flow,all,True,-0.578768386669416,-2.203268172022629,-0.6236368744214934,278,0.3418338433639352,-0.5391780271217664,-2.6691198997613985,-0.5852607551555674,199,0.33549222797927464,-0.08591248221167336,-0.8529466244063498,-0.1555773736814849,79,0.3566301473366075
any(ma_crossover+obv_trend),pair,short,trend+volume-flow,any,True,-0.4321732966945925,-0.7828087212351326,-0.6122003123966848,316,0.6580528165023235,-0.3242603183114974,-0.6837608001628694,-0.540372322798941,215,0.6515544041450777,-0.15744508530409762,-1.090863273503025,-0.25423940218648594,100,0.6728371741594258
all(macd+ts_momentum),pair,short,trend+momentum,all,True,-0.6527721877978836,-3.0312413401133598,-0.6547853234973394,519,0.24198118553779893,-0.45276134105127164,-2.2507765443924055,-0.534807183318583,353,0.24044689119170984,-0.3650453904017936,-5.536232552379844,-0.3881678248290405,166,0.24593879863996979
any(macd+ts_momentum),pair,short,trend+momentum,any,True,-0.7438745484004958,-2.0805819208346192,-0.8332205641262336,512,0.7543919301824776,-0.6585908668840875,-2.1612301005554877,-0.7500868494002976,353,0.7555051813471503,-0.2502821910302173,-1.9086932000944488,-0.3941334378978011,160,0.7514166981488477
all(macd+sma_regime),pair,short,trend+regime-filter,all,True,-0.6021544140850601,-2.869575727439278,-0.6184215715773526,381,0.21024594809021874,-0.4519077434723857,-2.497397287391764,-0.526281740099492,263,0.21373056994818654,-0.272182147105559,-3.978114331017177,-0.29982859429702596,117,0.20173781639591992
any(macd+sma_regime),pair,short,trend+regime-filter,any,True,-0.7112407838252885,-1.9453555434942835,-0.7740125370725995,441,0.7189164683214326,-0.6078860403617881,-1.9322742024565849,-0.6760282826642318,305,0.7142163212435233,-0.26405768365346516,-2.0529428942788255,-0.3736509543133866,137,0.7295051001133358
all(macd+breakout),pair,short,trend+breakout,all,True,-0.45275387012883417,-1.72298761552844,-0.4542678242976324,357,0.21976651932449282,-0.2211564876092844,-0.8628089197672588,-0.34713107342122457,244,0.21988341968911918,-0.2968670686784318,-4.522985160573298,-0.32470645412851623,113,0.21987155270117115
